<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20200325,9200.00,9349.00,9000.00,9218.00,63118844412,6847120,2200,D,8904.00,9349.00
Zagros.Kosar.Power,20200324,8999.00,9130.00,8601.00,8904.00,47206845891,5295290,1805,D,8761.00,9000.00
Zagros.Kosar.Power,20200318,8800.00,9000.00,8580.00,8761.00,46241413510,5277031,1828,D,8694.00,8940.00
Zagros.Kosar.Power,20200317,9200.00,9200.00,8534.00,8694.00,36192436142,4202232,1553,D,8983.00,8580.00
Zagros.Kosar.Power,20200316,9278.00,9650.00,8828.00,8983.00,29989562037,3304534,987,D,8837.00,8960.00
Zagros.Kosar.Power,20200315,8542.00,8822.00,8539.00,8837.00,18680340287,2166317,803,D,8981.00,8602.00
Zagros.Kosar.Power,20200314,8920.00,9199.00,8825.00,8981.00,36628659365,4121460,914,D,9289.00,8825.00
Zagros.Kosar.Power,20200311,9360.00,9500.00,9010.00,9289.00,42569936648,4576560,1902,D,9160.00,9136.00
Zagros.Kosar.Power,20200310,9025.00,9627.00,9025.00,9160.00,68422923821,7470115,2205,D,9500.00,9025.00
Zagros.Kosar.Power,20200309,9550.00,9717.00,9469.00,9500.00,63937707396,6730226,1401,D,9967.00,9469.00
Zagros.Kosar.Power,20200307,10200.00,10410.00,9426.00,9967.00,102170352729,10251232,3162,D,9922.00,9890.00
Zagros.Kosar.Power,20200304,9934.00,9934.00,9721.00,9922.00,91596108514,9231375,1962,D,9461.00,9934.00
Zagros.Kosar.Power,20200303,9259.00,9501.00,9201.00,9461.00,110614502861,11691551,1950,D,9049.00,9501.00
Zagros.Kosar.Power,20200302,9250.00,9250.00,8927.00,9049.00,127006957775,14035257,3212,D,9002.00,9040.00
Zagros.Kosar.Power,20200301,8600.00,9049.00,8558.00,9002.00,88304345885,9809269,2520,D,8619.00,9030.00
Zagros.Kosar.Power,20200229,8586.00,9037.00,8586.00,8619.00,100860477773,11702700,3099,D,9037.00,8640.00
Zagros.Kosar.Power,20200226,9220.00,9220.00,8910.00,9037.00,102971509154,11394542,3363,D,9083.00,8920.00
Zagros.Kosar.Power,20200225,9050.00,9240.00,8890.00,9083.00,102776515845,11315551,3229,D,8991.00,9160.00
Zagros.Kosar.Power,20200224,9289.00,9289.00,8883.00,8991.00,98254583316,10927569,2969,D,9136.00,9064.00
Zagros.Kosar.Power,20200223,9193.00,9335.00,8990.00,9136.00,90688932549,9926728,2722,D,8895.00,9095.00
Zagros.Kosar.Power,20200222,8542.00,9197.00,8542.00,8895.00,69516968446,7815629,2037,D,8991.00,9010.00
Zagros.Kosar.Power,20200219,8951.00,9300.00,8700.00,8991.00,81945196953,9113875,2672,D,8980.00,9097.00
Zagros.Kosar.Power,20200218,9180.00,9180.00,8900.00,8980.00,64782890646,7214412,2102,D,9300.00,8945.00
Zagros.Kosar.Power,20200217,9580.00,9589.00,9000.00,9300.00,92486389249,9944685,2688,D,9202.00,9079.00
Zagros.Kosar.Power,20200216,9060.00,9255.00,8915.00,9202.00,102317865968,11119320,2629,D,8815.00,9255.00
Zagros.Kosar.Power,20200215,9150.00,9150.00,8525.00,8815.00,61733325500,7003111,2444,D,8897.00,8888.00
Zagros.Kosar.Power,20200212,8700.00,8989.00,8700.00,8897.00,53133101585,5972138,2012,D,8577.00,8890.00
Zagros.Kosar.Power,20200210,8910.00,8990.00,8456.00,8577.00,101663598508,11853491,2882,D,8901.00,8571.00
Zagros.Kosar.Power,20200209,8820.00,9099.00,8700.00,8901.00,129051758980,14497907,3836,D,9140.00,8827.00
Zagros.Kosar.Power,20200208,9551.00,9551.00,8871.00,9140.00,151815001919,16610635,4916,D,9213.00,8956.00
Zagros.Kosar.Power,20200205,9090.00,9355.00,9051.00,9213.00,147406211661,16000275,3955,D,8701.00,9340.00
Zagros.Kosar.Power,20200204,8718.00,8718.00,8387.00,8701.00,347772160954,39970126,4843,D,8303.00,8718.00
Zagros.Kosar.Power,20200203,7911.00,8306.00,7911.00,8303.00,288719690857,34773820,3564,D,7535.00,8306.00
Zagros.Kosar.Power,20200202,7449.00,7640.00,7380.00,7535.00,60893000936,8081493,2302,D,7619.00,7510.00
Zagros.Kosar.Power,20200201,7424.00,7741.00,7390.00,7619.00,133735006442,17552934,3293,D,7373.00,7400.00
Zagros.Kosar.Power,20200128,7380.00,7496.00,7251.00,7373.00,40146615326,5445058,1648,D,7429.00,7370.00
Zagros.Kosar.Power,20200127,7610.00,7610.00,7300.00,7429.00,48901916742,6582988,1895,D,7578.00,7300.00
Zagros.Kosar.Power,20200126,7680.00,7688.00,7352.00,7578.00,119202856501,15729989,3103,D,7323.00,7545.00
Zagros.Kosar.Power,20200125,7200.00,7331.00,7100.00,7323.00,158456304251,21636712,2341,D,6982.00,7331.00
Zagros.Kosar.Power,20200122,6993.00,7070.00,6886.00,6982.00,48633618924,6966036,1591,D,6907.00,7050.00
Zagros.Kosar.Power,20200121,6980.00,7010.00,6845.00,6907.00,44554159930,6450808,1564,D,6881.00,6862.00
Zagros.Kosar.Power,20200120,6997.00,6997.00,6770.00,6881.00,46736362609,6792408,1655,D,6931.00,6900.00
Zagros.Kosar.Power,20200119,7050.00,7098.00,6802.00,6931.00,50436790988,7276585,1960,D,7143.00,6872.00
Zagros.Kosar.Power,20200118,7270.00,7270.00,7000.00,7143.00,59600920870,8343635,2009,D,7067.00,7050.00
Zagros.Kosar.Power,20200115,6901.00,7247.00,6743.00,7067.00,49155639204,6955802,1236,D,6974.00,7020.00
Zagros.Kosar.Power,20200114,7274.00,7275.00,6896.00,6974.00,53028094300,7603924,1467,D,7080.00,6901.00
